,loss,mae,mse,rmse
67,18630.76934151303,18630.76953125,37366083584.0,90897.3203125
68,19656.79433750166,19656.794921875,46013284352.0,94172.6640625
69,18131.720966026718,18131.7265625,39711973376.0,92732.4921875
70,18870.19666747343,18870.193359375,44669157376.0,95064.125
71,16766.419211558128,16766.41796875,32724541440.0,87059.0546875
72,17036.583498628082,17036.580078125,28750129152.0,86594.9375
73,20394.785627889138,20394.779296875,45014466560.0,102872.9921875
74,18496.30350374356,18496.30078125,37909176320.0,94264.640625
75,18298.547627020707,18298.548828125,39650422784.0,93578.1796875
76,17918.911364823532,17918.912109375,33387481088.0,88758.296875
77,19987.07622828852,19987.083984375,50277638144.0,104071.234375
78,16785.033278692965,16785.03125,34755125248.0,84142.3984375
79,20773.37927938811,20773.376953125,56365518848.0,102882.5390625
80,19099.23631504855,19099.23046875,44386115584.0,89760.5
81,19120.83867557794,19120.8359375,41460432896.0,95816.265625
82,18764.60741624315,18764.607421875,47111077888.0,91059.6484375
83,18872.899145029107,18872.896484375,35884924928.0,92678.859375
84,16966.040330019623,16966.041015625,30876428288.0,83616.4375
85,19141.645093533738,19141.64453125,47568035840.0,95387.7265625
86,18372.200884286423,18372.19921875,40904122368.0,95119.921875
87,19218.721757857555,19218.71875,48037842944.0,95376.0625
88,18643.737816630433,18643.732421875,43973218304.0,93132.09375
89,18682.79797884227,18682.7890625,47971340288.0,94980.71875
90,19526.56065352813,19526.560546875,52922245120.0,98027.5078125
91,18535.3045657324,18535.30859375,39064535040.0,94882.4765625
92,17663.79623884753,17663.802734375,38375297024.0,88460.515625
93,19049.2395110732,19049.23828125,45472178176.0,92992.2421875
94,17590.192512570284,17590.19140625,43032203264.0,90175.9140625
95,19457.22657993057,19457.228515625,49893064704.0,96950.5390625
96,19260.686300022076,19260.689453125,48454660096.0,94251.5
97,17728.632496384354,17728.62890625,32056510464.0,85674.109375
98,18855.610892494493,18855.607421875,42018766848.0,95894.0078125
99,19804.476259569918,19804.478515625,43286818816.0,95529.96875
