,MAE,RMSE,R,Lag
2017/18_66,3.818,5.747,0.965,5.0
2014/15_67,1.749,2.718,0.927,-1.0
2015/16_67,2.696,3.723,0.871,-59.0
2016/17_67,1.475,2.32,0.913,-17.0
2017/18_67,3.917,6.36,0.962,5.0
2014/15_68,1.706,2.624,0.905,6.0
2015/16_68,2.715,3.537,0.868,-59.0
2016/17_68,1.713,2.578,0.892,-19.0
2017/18_68,3.849,5.733,0.966,5.0
2014/15_69,7.921,10.01,0.636,1.0
2015/16_69,8.268,10.624,-0.759,-196.0
2016/17_69,4.432,6.347,0.881,-13.0
2017/18_69,10.631,17.782,0.849,16.0
2014/15_70,1.834,2.532,0.914,-1.0
2015/16_70,2.891,4.613,0.881,17.0
2016/17_70,1.632,2.656,0.911,-16.0
2017/18_70,3.723,4.979,0.951,-10.0
2014/15_71,1.742,2.408,0.924,-1.0
2015/16_71,2.705,4.006,0.877,-25.0
2016/17_71,1.462,2.304,0.91,-19.0
2017/18_71,4.023,6.843,0.958,5.0
2014/15_72,1.743,2.621,0.93,6.0
2015/16_72,2.787,3.601,0.87,-60.0
2016/17_72,1.446,2.167,0.915,-18.0
2017/18_72,3.686,4.849,0.976,5.0
2014/15_73,7.926,10.014,-0.164,115.0
2015/16_73,4.717,7.245,0.835,25.0
2016/17_73,3.389,5.013,0.896,-12.0
2017/18_73,10.639,17.824,-0.755,218.0
2014/15_74,2.017,2.782,0.914,-1.0
2015/16_74,2.824,4.553,0.856,-59.0
2016/17_74,1.485,2.23,0.93,-16.0
2017/18_74,3.852,4.717,0.967,-10.0
2014/15_75,2.009,3.197,0.904,-1.0
2015/16_75,2.782,4.36,0.877,-59.0
2016/17_75,1.554,2.322,0.909,-18.0
2017/18_75,4.087,6.049,0.964,5.0
2014/15_76,1.716,2.603,0.931,-1.0
2015/16_76,2.579,3.429,0.887,-25.0
2016/17_76,1.519,2.289,0.916,-19.0
2017/18_76,3.367,4.38,0.967,5.0
2014/15_77,7.454,9.602,0.734,-67.0
2015/16_77,5.31,7.576,0.866,25.0
2016/17_77,3.065,4.595,0.904,-9.0
2017/18_77,7.176,13.273,0.88,17.0
2014/15_78,1.898,2.754,0.909,-1.0
