,Likelihood_Loss,KL_Loss,Loss,mae,mse
104,103.04573822021484,572.7891845703125,[26.67705594648642],[2.885221],[35.270752]
105,113.59767150878906,570.942138671875,[28.39027241784999],[3.6305258],[83.16809]
106,116.43805694580078,569.1320037841797,[27.62660681018841],[3.402264],[47.411285]
107,98.13251495361328,567.513126373291,[28.147841613966964],[3.6770484],[49.526413]
108,124.60333251953125,565.8330001831055,[27.817725256204753],[3.8726802],[66.41785]
109,132.1296844482422,564.1604309082031,[28.115589593122273],[3.6051884],[53.788643]
110,107.09494018554688,562.5316429138184,[28.098510414306865],[3.9865794],[90.59324]
111,121.45124053955078,560.9188423156738,[28.376276736632587],[3.8900435],[70.280334]
112,100.3817367553711,559.2054595947266,[26.96946816670623],[3.791336],[106.51749]
113,84.1551284790039,557.5581016540527,[27.20732617099125],[3.7080765],[79.44935]
114,106.08289337158203,555.8534545898438,[27.38956263266591],[3.6957598],[86.98533]
115,108.03858184814453,553.9436073303223,[25.92472827133395],[3.255128],[47.879425]
116,95.67877197265625,551.945426940918,[25.681283599421043],[3.2243915],[70.41912]
117,128.29315185546875,550.1249198913574,[25.755207877355964],[3.3616567],[65.25744]
118,104.98727416992188,548.0564727783203,[25.604322794257897],[2.9784272],[36.085426]
119,106.5860595703125,546.2176284790039,[25.642610003459033],[3.433972],[66.44538]
120,109.91950225830078,544.6157989501953,[27.461644571648655],[4.127717],[82.86523]
121,119.6908187866211,542.7341270446777,[25.25165084491008],[3.1096113],[43.99823]
122,107.4544677734375,541.0624618530273,[26.610627534576057],[3.9855409],[101.743164]
123,117.77721405029297,539.1540374755859,[24.702409097903022],[2.679191],[30.457207]
124,102.029541015625,537.2686233520508,[25.246503831131253],[3.070434],[43.66296]
125,110.91124725341797,535.3162231445312,[24.722910650115796],[3.0672748],[39.14234]
126,92.93852233886719,533.4595947265625,[25.499181943694825],[3.4044259],[49.448532]
127,111.89917755126953,531.5239906311035,[24.248592771575986],[2.7845871],[30.286161]
