,Likelihood_Loss,KL_Loss,Loss,mae,mse
68,167.93338012695312,622.414722442627,[36.4806209994332],[4.007464],[74.12146]
69,164.6827392578125,621.5122909545898,[34.263675198463915],[3.374629],[60.44696]
70,159.184814453125,620.5544776916504,[36.5828855494548],[3.8558135],[72.171684]
71,135.20065307617188,619.504940032959,[34.035126696085385],[3.3325036],[50.536766]
72,150.21910095214844,618.5724449157715,[36.12070253199438],[3.781579],[77.10338]
73,147.1558380126953,617.616283416748,[34.410385532578935],[3.5520098],[56.922134]
74,161.4791717529297,616.697582244873,[35.220130593704724],[3.8747976],[106.72445]
75,148.68679809570312,615.645751953125,[32.67549358704027],[3.3142028],[51.241486]
76,138.67971801757812,614.6559791564941,[33.6228344929637],[3.7421176],[59.651653]
77,140.66282653808594,613.6126136779785,[33.096120243225286],[3.4284754],[57.876]
78,140.44515991210938,612.5344543457031,[31.91240120051602],[3.1539245],[39.20761]
79,149.12355041503906,611.6508827209473,[33.58646850092354],[3.7073762],[65.06372]
80,143.9491424560547,610.6877784729004,[33.37622723958408],[3.4959812],[43.019176]
81,129.20616149902344,609.5693168640137,[30.587687213260747],[3.0294936],[37.043957]
82,147.52032470703125,608.4961242675781,[32.665508089282966],[4.0145373],[132.55983]
83,129.61683654785156,607.4236373901367,[31.962375942895388],[3.4981225],[53.441235]
84,137.06756591796875,606.5902900695801,[35.90431219842503],[4.559391],[142.04602]
85,157.16424560546875,605.6805038452148,[33.12660770098956],[3.9996142],[92.906555]
86,145.0207061767578,604.7076454162598,[32.825665309997675],[3.8331044],[71.00804]
87,152.2827606201172,603.6776123046875,[31.780192297032347],[3.3982987],[43.48791]
88,154.23831176757812,602.3943634033203,[30.11248284772966],[3.088267],[39.95744]
89,134.46926879882812,601.313175201416,[32.14330118758694],[3.6626742],[64.04766]
90,134.6522216796875,600.0127067565918,[29.870457965947196],[3.098972],[46.187447]
91,127.6913833618164,598.7369613647461,[30.635955631916566],[3.2590127],[50.417072]
92,127.23111724853516,597.4332809448242,[29.714673634010264],[2.9379075],[32.02457]
93,112.33759307861328,596.071964263916,[29.681757068457753],[3.192374],[41.827248]
94,122.63176727294922,595.0069274902344,[32.57597392676278],[4.476306],[91.590675]
95,132.9234161376953,593.825855255127,[31.588472374559405],[3.9039042],[108.63952]
